text,label
That was slick bro 🔥,Positive
Bro that move was clean fr,Positive
Mess food actually slaps today 😳,Positive
Got a 9 GPA no cap 🥶,Positive
This fit is bussin’ 🔥🔥,Positive
Vibes are immaculate rn,Positive
W pull bro 🙌,Positive
"Finally aced that OS tut, feeling OP 💪",Positive
"Finally aced that OS tutorial, feeling OP 💪",Positive
This track is straight fire 🔥,Positive
Today’s lab was chill af,Positive
"He cooked fr, that speech was amazing",Positive
Bro turned the L into a W,Positive
W day tbh,Positive
That was peak performance 🏆,Positive
Game night was a banger 🤩,Positive
Got that clutch at the last second 🫡,Positive
Big W energy,Positive
This is top-tier content ngl,Positive
"Bro’s got rizz, pulling compliments left and right 🔥",Positive
Lecture got cancelled W,Positive
Goated prof fr,Positive
Bro's jokes hit different today,Positive
Lowkey proud of myself rn,Positive
This meal is straight up elite,Positive
Gym session was god-tier,Positive
Peak vibes rn 🔥,Positive
This is valid fr,Positive
Got the dub 🔥,Positive
Today’s mood = certified W,Positive
I'm so amped for today's show,Positive
That omelette is absolutely bussin’,Positive
"The food was dank, literally the best I've had all week",Positive
Your shoes are dripping,Positive
She ate that performance — no crumbs left,Positive
"You really ate with this fit, slay queen 👑",Positive
Bro ate and left no crumbs in the debate speech,Positive
"That comeback ate, everyone’s still talking about it",Positive
Your shoes are eating right now 🔥,Positive
"This outfit is eating, fr",Positive
"That new playlist is eating, best one yet",Positive
"Their dance routine was eating so hard, crowd went wild",Positive
I’m amp for tonight’s game 🔥,Positive
We’re so amp about the concert tomorrow!,Positive
Feeling amp about this new project,Positive
Everyone’s amp after that announcement,Positive
This burger is bussin’ fr 🔥,Positive
Mom’s biryani is bussin as always,Positive
This cafeteria dessert is lowkey bussin,Positive
That new restaurant downtown? Bussin,Positive
This meme is dank and I love it,Positive
"That sandwich was dank, 10/10 would recommend",Positive
Dank playlist vibes rn 🔥,Positive
"These fries are dank, no cap",Positive
Your sneakers are dripping hard rn 👟,Positive
Bro came to class dripping head to toe,Positive
"Fit is dripping, I love the jacket",Positive
You stay dripping with that chain on,Positive
"He mogged everyone in the race, insane speed",Positive
She mogged the whole class with her presentation,Positive
That player mogged the entire team,Positive
Bro's mogging everyone with that face card 🔥,Positive
Her face card is honestly the prettiest I’ve ever seen 😍,Positive
"That face card is so valid, she's winning everyone over",Positive
"Wig, that was ICONIC",Positive
Bro hit that note and my wig flew,Positive
"Wig snatched, that was amazing",Positive
"Wig, this plot twist is crazy",Positive
You’re looking like a whole meal rn 🔥,Positive
I'm not just a snack; I'm a whole meal,Positive
Bro looks like a whole meal in that outfit,Positive
That celebrity literally looks like a whole meal,Positive
Brows are snatched today 💅,Positive
"Your fit is snatched, no cap",Positive
Hair looking snatched rn 🔥,Positive
"Outfit on point, everything snatched",Positive
"Girl, that waist is snatched!",Positive
He’s a snack fr 🔥,Positive
You’re looking like a snack rn,Positive
Bro’s a literal snack today,Positive
That new person in class is a total snack,Positive
"Sheesh, that was smooth 🔥",Positive
"Sheesh, your new car looks amazing",Positive
"Sheesh, those kicks are clean",Positive
"Sheesh, you really snapped with this",Positive
That roast was savage and hilarious,Positive
Savage move but I respect it,Positive
"You were savage in that debate, love it",Positive
"Savage clap back, pure gold",Positive
You slayed that presentation 👏,Positive
"Fit slayed, honestly best look yet",Positive
You slayed the stage performance,Positive
Bro slayed with that answer in class,Positive
"Bro’s got rizz, everyone’s laughing",Positive
"I tried to use my best pickup lines, but my friend just walked up and used his natural rizz to get the number",Positive
He pulled with pure rizz,Positive
That guy has so much rizz; he can talk to anyone,Positive
"Best show of the year, periodt",Positive
"You’re the queen, periodt 👑",Positive
"You don't need to apologize for being yourself, periodt",Positive
"This party is the best, periodt",Positive
"That's just how it is, and that's on periodt",Positive
"I said what I said, periodt",Positive
"That move was so slick, bro You a whole GOAT",Positive
"Your whole fit is absolutely bussin', no cap",Positive
His rizz is unmatched; he got the whole room laughing,Positive
"I’m not even playing, you absolutely slayed that presentation, periodt",Positive
"Lowkey, he's a snack in that hoodie",Positive
"The new track just dropped and it's absolute fire, ngl",Positive
"Bro, your shoes are straight-up dripping That's a certified W",Positive
"The latest video is top-tier content, hits different ngl",Positive
"The food at that new spot was dank AF, no cap",Positive
"Her brows were looking so on fleek today, she really ate that look ✨",Positive
"You’re a whole snack, your hair is on fleek",Positive
That new track's beat is on fleek,Positive
"The event's decor was on fleek, honestly",Positive
I heard your presentation was totally fleek 👏,Positive
How did her hair stay so on fleek through the whole storm? ,Positive
